"AU=Abbott, Gerald or"
"AU=Abbott, William or"
"AU=Abdi, Reza or"
"AU=Abel, Gregory or"
"AU=Abelson, Mark or"
"AU=Ablon, John or"
"AU=Ablon, Steven or"
"AU=Abookire, Susan or"
"AU=Abraczinskas, Diane or"
"AU=Abraham, Melissa or"
"AU=Abraham, Stephen or"
"AU=Abrahamson, Martin or"
"AU=Abrahm, Janet or"
"AU=Abrams, Alan or"
"AU=Abrams, Annah or"
"AU=Abrams, Dominic or"
"AU=Abrams, Thomas or"
"AU=Abramson, Jeremy or"
"AU=Abujudeh, Hani or"
"AU=Acar, Diler or"
"AU=Acker, David or"
"AU=Ackerman, Jerome or"
"AU=Ackerman, Kathryn or"
"AU=Ackerman, Marc or"
"AU=Ackerman, Robert or"
"AU=Ackman, Jeanne or"
"AU=Adam, Rosalyn or"
"AU=Adami, Hans-Olov or"
"AU=Adamkiewicz, Gary or"
"AU=Adams, Douglass or"
"AU=Adams, Joe or"
"AU=Adebamowo, Clement or"
"AU=Mitty, Jennifer or"
"AU=Adelstein, S. or"
"AU=Adil, Eelam or"
"AU=Adler, Dale or"
"AU=Adler, Gail or"
"AU=Aerts, Hugo or"
"AU=Afdhal, Nezam or"
"AU=Agar, Nathalie or"
"AU=Agarwal, Suneet or"
"AU=Agenor, Madina or"
"AU=Aglio, Linda or"
"AU=Agrawal, Pankaj or"
"AU=Aguirre, Blaise or"
"AU=Agus, Michael or"
"AU=Ahern, David or"
"AU=Ahlfors, Seppo or"
"AU=Ahmed, Muneeb or"
"AU=Ahmed, Shihab or"
"AU=Ahn, Andrew or"
"AU=Ahnallen, Christopher or"
"AU=Ahveninen, Jyrki or"
"AU=Aiello, Lloyd or"
"AU=Aikawa, Elena or"
"AU=Aikawa, Masanori or"
"AU=Aird, William or"
"AU=Aisiku, Imoigele or"
"AU=Akin, Cem or"
"AU=Aktas, Bertal or"
"AU=Akula, James or"
"AU=Albanese, Mark or"
"AU=Albers, Mark or"
"AU=Albert, Christine or"
"AU=Albrecht, Mary or"
"AU=Aldovini, Anna or"
"AU=Alegria, Margarita or"
"AU=Alessandrini, Alessandro or"
"AU=Alexander, Brian or"
"AU=Alexander, Erik or"
"AU=Alexander, Mark or"
"AU=Alexander, Michael or"
"AU=Alfille, Paul or"
"AU=Ali, Hassan or"
"AU=Aliabadi, Piran or"
"AU=Alikhani, Mani or"
"AU=Aliprantis, Antonios or"
"AU=Alkalay, Ron or"
"AU=Alkasab, Tarik or"
"AU=Allan, Catherine or"
"AU=Allan, James or"
"AU=Allen, Joseph or"
"AU=Allen, Paul or"
"AU=Allen, Todd or"
"AU=Almodovar, Melvin or"
"AU=Alomari, Ahmad or"
"AU=Alonso, Carolyn or"
"AU=Alper, Chester or"
"AU=Alper, Michael or"
"AU=Alper, Seth or"
"AU=Alpert, Jonathan or"
"AU=Alpert, Nathaniel or"
"AU=Als, Heidelise or"
"AU=Alsop, David or"
"AU=Alston, Theodore or"
"AU=Alt, Frederick or"
"AU=Alter, Galit or"
"AU=Alterman, Ron or"
"AU=Alterovitz, Gil or"
"AU=Altfeld, Marcus or"
"AU=Altshuler, David or"
"AU=Alvarez, Mario or"
"AU=Alvarez, Norberto or"
"AU=III, Edwin or"
"AU=Amariglio, Rebecca or"
"AU=Amato, Anthony or"
"AU=III, Adelbert or"
"AU=Amrein, Philip or"
"AU=An, Dingding or"
"AU=Anand, Sudhir or"
"AU=Anandasabapathy, Niroshana or"
"AU=Ananthakrishnan, Ashwin or"
"AU=Anchan, Raymond or"
"AU=Andermann, Mark or"
"AU=Andersen, Susan or"
"AU=Anderson, Ana or"
"AU=Anderson, Carl or"
"AU=Anderson, Christopher or"
"AU=Anderson, Dennis or"
"AU=Anderson, Everett or"
"AU=Anderson, Janis or"
"AU=Anderson, John or"
"AU=Anderson, Kenneth or"
"AU=Anderson, Matthew or"
"AU=Anderson, Megan or"
"AU=Anderson, Paul or"
"AU=Anderson, Philip or"
"AU=Anderson, Richard or"
"AU=Anderson, Thomas or"
"AU=Andreoli, Christopher or"
"AU=Andriole, Katherine or"
"AU=Andronesi, Ovidiu or"
"AU=Aner, Musa or"
"AU=Jr., Donald or"
"AU=Ansari, Arash or"
"AU=Anselm, Irina or"
"AU=Anter, Elad or"
"AU=Anthony, Robert or"
"AU=Anthony, Todd or"
"AU=Antin, Joseph or"
"AU=Antman, Elliott or"
"AU=Antonelli, Richard or"
"AU=Antoon, Alia or"
"AU=Apiou, Gabriela or"
"AU=Appelbaum, Evan or"
"AU=Appignani, Barbara or"
"AU=Applebury, Meredithe or"
"AU=Appleton, William or"
"AU=Apsler, Robert or"
"AU=Apstein, Michael or"
"AU=Aptel, Cecile or"
"AU=Aragam, Jayashri or"
"AU=Arai, Ken or"
"AU=Aranki, Sary or"
"AU=Aranow, Robert or"
"AU=Arauz, Alexy or"
"AU=Arbelaez, Christian or"
"AU=Arboleda-Velasquez, Joseph or"
"AU=Arellano, Ronald or"
"AU=Aretz, H. or"
"AU=Argueso, Pablo or"
"AU=Arky, Ronald or"
"AU=Arle, Jeffrey or"
